,index,model,2nd_model,cascade,voting,cascade_better,2nd_better,2nd_cascade_better
0,air_quality,0.6134864695409313,0.6134864695409313,0.6097325326580147,0.6056867540620497,False,False,False
1,traffic,13.208888254658936,13.208888254658936,13.551715552478909,12.61598847343091,False,False,False
2,energy,4173632.921931037,4173632.921931037,4087337.2065679706,4120463.092698625,True,False,False
3,power,634171.7063489873,634171.7063489873,493658.8854901332,653192.2608068248,True,False,False
4,parking,280925.530570676,280925.530570676,282345.3212092192,291280.898015156,True,False,False
5,room,21.8402320301705,21.8402320301705,21.80768965214894,20.00813625872373,False,False,False
6,solar,471506.2584194441,471506.2584194441,492051.6906254266,478780.9390259159,False,False,False
7,kolkata,0.9252834720618432,0.9252834720618432,0.9786385127983064,0.955951038960258,False,False,False
8,turbine,324673.26622030773,324673.26622030773,339305.2894471904,325768.96251631674,False,False,False
9,joho,5991503.825032723,5991503.825032723,6628246.359573666,5932087.813862596,False,False,False
10,electricity,0.1032108150419093,0.1032108150419093,0.1027757174678592,0.1035659484796778,True,False,False
11,iot,13.902287630355003,13.902287630355003,15.189386350299442,13.737832310933335,False,False,False
12,sum,11876464.101911847,11876464.101911847,12322996.992851924,11801621.994086219,4.0,0.0,0.0
